Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
GERD, stomach_pain, acidity, vomiting, cough
GERD, stomach_pain, acidity, ulcers_on_tongue, cough
GERD, acidity, ulcers_on_tongue, vomiting, cough
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
Diabetes , fatigue, weight_loss, restlessness, lethargy
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
Bronchial Asthma, fatigue, cough, high_fever, breathlessness
Bronchial Asthma, cough, high_fever, breathlessness, family_history
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
Bronchial Asthma, fatigue, cough, breathlessness, family_history
Bronchial Asthma, fatigue, cough, high_fever, family_history
Hypertension , headache, chest_pain, dizziness, loss_of_balance
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
Hypertension , headache, chest_pain, dizziness, lack_of_concentration
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
Migraine, acidity, indigestion, headache, excessive_hunger
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
Jaundice,itching, vomiting, fatigue, weight_loss
Jaundice, vomiting, fatigue, weight_loss, high_fever
Jaundice,itching, fatigue, weight_loss, high_fever
Jaundice,itching, vomiting, weight_loss, high_fever
Jaundice,itching, vomiting, fatigue, high_fever
Malaria, chills, vomiting, high_fever, sweating
Malaria, vomiting, high_fever, sweating, headache
Malaria, chills, high_fever, sweating, headache
Malaria, chills, vomiting, sweating, headache
Malaria, chills, vomiting, high_fever, headache
Chicken pox,itching, skin_rash, fatigue, lethargy
Chicken pox, skin_rash, fatigue, lethargy, high_fever
Chicken pox,itching, fatigue, lethargy, high_fever
Chicken pox,itching, skin_rash, lethargy, high_fever
Chicken pox,itching, skin_rash, fatigue, high_fever
Dengue, skin_rash, chills, joint_pain, vomiting
Dengue, chills, joint_pain, vomiting, fatigue
Dengue, skin_rash, joint_pain, vomiting, fatigue
Dengue, skin_rash, chills, vomiting, fatigue
Dengue, skin_rash, chills, joint_pain, fatigue
Typhoid, chills, vomiting, fatigue, high_fever
Typhoid, chills, fatigue, high_fever, headache
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
hepatitis A, vomiting, yellowish_skin, dark_urine, nausea
hepatitis A, joint_pain, yellowish_skin, dark_urine, nausea
hepatitis A, joint_pain, vomiting, dark_urine, nausea
hepatitis A, joint_pain, vomiting, yellowish_skin, nausea
Hepatitis B,itching, fatigue, lethargy, yellowish_skin
Hepatitis B, fatigue, lethargy, yellowish_skin, dark_urine
Hepatitis B,itching, lethargy, yellowish_skin, dark_urine
Hepatitis B,itching, fatigue, yellowish_skin, dark_urine
Hepatitis B,itching, fatigue, lethargy, dark_urine
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
Hepatitis C, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes
Hepatitis C, fatigue, nausea, loss_of_appetite, yellowing_of_eyes
Hepatitis C, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes
Hepatitis C, fatigue, yellowish_skin, nausea, yellowing_of_eyes
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine
Hepatitis D, joint_pain, fatigue, yellowish_skin, dark_urine
Hepatitis D, joint_pain, vomiting, yellowish_skin, dark_urine
Hepatitis D, joint_pain, vomiting, fatigue, dark_urine
Hepatitis E, joint_pain, vomiting, fatigue, high_fever
Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin
Hepatitis E, joint_pain, fatigue, high_fever, yellowish_skin
Hepatitis E, joint_pain, vomiting, high_fever, yellowish_skin
Hepatitis E, joint_pain, vomiting, fatigue, yellowish_skin
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen
Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen
Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen
Tuberculosis, chills, vomiting, fatigue, weight_loss
Tuberculosis, vomiting, fatigue, weight_loss, cough
Tuberculosis, chills, fatigue, weight_loss, cough
Tuberculosis, chills, vomiting, weight_loss, cough
Tuberculosis, chills, vomiting, fatigue, cough
Common Cold, continuous_sneezing, chills, fatigue, cough
Common Cold, chills, fatigue, cough, high_fever
Common Cold, continuous_sneezing, fatigue, cough, high_fever
Common Cold, continuous_sneezing, chills, cough, high_fever
Common Cold, continuous_sneezing, chills, fatigue, high_fever
Pneumonia, chills, fatigue, cough, high_fever
Pneumonia, fatigue, cough, high_fever, breathlessness
Pneumonia, chills, cough, high_fever, breathlessness
Pneumonia, chills, fatigue, high_fever, breathlessness
Pneumonia, chills, fatigue, cough, breathlessness
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
Heart attack, vomiting, breathlessness, sweating, chest_pain
Varicose veins, fatigue, cramps, bruising, obesity
Varicose veins, cramps, bruising, obesity, swollen_legs
Varicose veins, fatigue, bruising, obesity, swollen_legs
Varicose veins, fatigue, cramps, obesity, swollen_legs
Varicose veins, fatigue, cramps, bruising, swollen_legs
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
Hypothyroidism, fatigue, cold_hands_and_feets, mood_swings, lethargy
Hypothyroidism, fatigue, weight_gain, mood_swings, lethargy
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, lethargy
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
Hyperthyroidism, mood_swings, weight_loss, restlessness, sweating
Hyperthyroidism, fatigue, weight_loss, restlessness, sweating
Hyperthyroidism, fatigue, mood_swings, restlessness, sweating
Hyperthyroidism, fatigue, mood_swings, weight_loss, sweating
Hypoglycemia, vomiting, fatigue, anxiety, sweating
Hypoglycemia, fatigue, anxiety, sweating, headache
Hypoglycemia, vomiting, anxiety, sweating, headache
Hypoglycemia, vomiting, fatigue, sweating, headache
Hypoglycemia, vomiting, fatigue, anxiety, headache
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
Osteoarthristis, neck_pain, knee_pain, hip_joint_pain, swelling_joints
Osteoarthristis, joint_pain, knee_pain, hip_joint_pain, swelling_joints
Osteoarthristis, joint_pain, neck_pain, hip_joint_pain, swelling_joints
Osteoarthristis, joint_pain, neck_pain, knee_pain, swelling_joints
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
Arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking
Arthritis, muscle_weakness, swelling_joints, movement_stiffness, painful_walking
Arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking
Arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss_of_balance
(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements, loss_of_balance
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss_of_balance
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
Acne, skin_rash, pus_filled_pimples, blackheads, scurring
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
Psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
Psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
Psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
